lat,lng,fai,date
-39.21735,-72.08288,0.0,2026-08-22
-39.21735,-72.07945,0.0,2026-08-22
-39.21735,-72.07603,0.0,2026-08-22
-39.21735,-72.0726,0.00093,2026-08-22
-39.21735,-72.06918,0.0,2026-08-22
-39.21735,-72.06575,0.0,2026-08-22
-39.21735,-72.06233,0.0,2026-08-22
-39.21735,-72.0589,0.0,2026-08-22
-39.21735,-72.05548,-4e-05,2026-08-22
-39.21735,-72.05205,0.0,2026-08-22
-39.21735,-72.04863,0.0,2026-08-22
-39.21735,-72.04521,-2e-05,2026-08-22
-39.21735,-72.04178,0.0,2026-08-22
-39.22024,-72.20959,-0.00032,2026-08-22
-39.22024,-72.20616,-0.00249,2026-08-22
-39.22024,-72.18562,0.0017,2026-08-22
-39.22024,-72.18219,0.0,2026-08-22
-39.22024,-72.17877,0.0,2026-08-22
-39.22024,-72.17534,0.00151,2026-08-22
-39.22024,-72.17192,0.0002,2026-08-22
-39.22024,-72.16849,0.0,2026-08-22
-39.22024,-72.16507,0.0,2026-08-22
-39.22024,-72.16164,0.0,2026-08-22
-39.22024,-72.15822,0.0,2026-08-22
-39.22024,-72.15479,-9e-05,2026-08-22
-39.22024,-72.15137,0.0,2026-08-22
-39.22024,-72.14795,-7e-05,2026-08-22
-39.22024,-72.14452,8e-05,2026-08-22
-39.22024,-72.1411,0.00011,2026-08-22
-39.22024,-72.13767,-2e-05,2026-08-22
-39.22024,-72.13425,0.0,2026-08-22
-39.22024,-72.13082,0.0,2026-08-22
-39.22024,-72.1274,0.0,2026-08-22
-39.22024,-72.12397,0.0,2026-08-22
-39.22024,-72.12055,0.0,2026-08-22
-39.22024,-72.11712,0.0,2026-08-22
-39.22024,-72.1137,-2e-05,2026-08-22
-39.22024,-72.11027,0.0,2026-08-22
-39.22024,-72.10685,-2e-05,2026-08-22
-39.22024,-72.10342,0.0,2026-08-22
-39.22024,-72.1,0.0,2026-08-22
-39.22024,-72.09658,0.0,2026-08-22
-39.22024,-72.09315,0.0,2026-08-22
-39.22024,-72.08973,0.0,2026-08-22
-39.22024,-72.0863,0.0,2026-08-22
-39.22024,-72.08288,0.0,2026-08-22
-39.22024,-72.07945,-7e-05,2026-08-22
-39.22024,-72.07603,0.0,2026-08-22
-39.22024,-72.0726,0.0,2026-08-22
-39.22024,-72.06918,0.0002,2026-08-22
-39.22024,-72.06575,0.0,2026-08-22
-39.22024,-72.06233,0.0,2026-08-22
-39.22024,-72.0589,0.0,2026-08-22
-39.22024,-72.05548,0.0,2026-08-22
-39.22024,-72.05205,0.0,2026-08-22
-39.22024,-72.04863,0.0,2026-08-22
-39.22024,-72.04521,0.0,2026-08-22
-39.22024,-72.04178,0.0,2026-08-22
-39.22024,-72.03836,0.0,2026-08-22
-39.22024,-72.03493,-0.00013,2026-08-22
-39.22314,-72.18562,0.0,2026-08-22
-39.22314,-72.18219,-6e-05,2026-08-22
-39.22314,-72.17877,0.0,2026-08-22
-39.22314,-72.17534,0.0016,2026-08-22
-39.22314,-72.17192,0.0,2026-08-22
-39.22314,-72.16849,0.0,2026-08-22
-39.22314,-72.16507,0.0,2026-08-22
-39.22314,-72.16164,0.0,2026-08-22
-39.22314,-72.15822,0.0,2026-08-22
-39.22314,-72.15479,0.0,2026-08-22
-39.22314,-72.15137,-0.00019,2026-08-22
-39.22314,-72.14795,0.0,2026-08-22
-39.22314,-72.14452,0.0,2026-08-22
-39.22314,-72.1411,0.0001,2026-08-22
-39.22314,-72.13767,0.0,2026-08-22
-39.22314,-72.13425,0.0,2026-08-22
-39.22314,-72.13082,0.0,2026-08-22
-39.22314,-72.1274,0.0,2026-08-22
-39.22314,-72.12397,-4e-05,2026-08-22
-39.22314,-72.12055,-7e-05,2026-08-22
-39.22314,-72.11712,0.0002,2026-08-22
-39.22314,-72.1137,0.0,2026-08-22
-39.22314,-72.11027,0.0,2026-08-22
-39.22314,-72.10685,0.0,2026-08-22
-39.22314,-72.10342,0.0,2026-08-22
-39.22314,-72.1,0.0,2026-08-22
-39.22314,-72.09658,0.0,2026-08-22
-39.22314,-72.09315,0.0007,2026-08-22
-39.22314,-72.08973,0.0,2026-08-22
