station_id,anchor_date,target_date,horizon_days,fai_q10,fai_q50,fai_q90,n_pixels,alert_threshold
lake,2026-02-06,2026-02-13,7,-0.0016619456489286488,-2.6863775864656636e-06,0.0013017256543349247,1841,0.00381
pucon,2026-02-13,2026-02-21,8,-0.004460602008695141,-0.00014535191222212536,0.0026803804076977284,25,0.00381
norte,2026-02-13,2026-02-21,8,-0.000527029825977777,0.0006594694641298217,0.001560253233115193,25,0.00381
tolten,2026-02-13,2026-02-21,8,-0.003106375156597361,-0.0003844364448842423,0.002787776953053185,25,0.00381
sur,2026-02-13,2026-02-21,8,-0.003397138478693749,0.0023812666229522422,0.006413311160770246,25,0.00381
lake,2026-02-13,2026-02-21,8,-0.0017655862122407167,0.00011596335911574203,0.0014206010848885273,1807,0.00381
pucon,2026-02-16,2026-02-21,5,-0.003141840720293502,0.0002590130972794345,0.0027694426759956965,25,0.00381
norte,2026-02-16,2026-02-21,5,-0.0003214440984035554,0.0005655226935281042,0.00144521425817571,25,0.00381
tolten,2026-02-16,2026-02-21,5,-0.0027438037458932373,-0.0006380243134376884,0.002893451196110371,25,0.00381
sur,2026-02-16,2026-02-21,5,-0.0029183302250405546,0.002072915360735757,0.006281339657977788,25,0.00381
lake,2026-02-16,2026-02-21,5,-0.001368082492016317,0.0001052877616494901,0.001368028796728909,1808,0.00381
pucon,2026-02-21,2026-02-26,5,-0.0037611122754815656,-0.00016677572260896572,0.0023819324023912907,25,0.00381
norte,2026-02-21,2026-02-26,5,-0.0006014299389693516,0.0003927232210435938,0.0012507606778898368,25,0.00381
tolten,2026-02-21,2026-02-26,5,-0.003593637381350599,-0.0008478929828758111,0.00141179242654429,25,0.00381
sur,2026-02-21,2026-02-26,5,-0.0034686190796691086,0.0016962970064487186,0.005824711333921326,25,0.00381
lake,2026-02-21,2026-02-26,5,-0.001758884549621452,-3.0512707112095164e-05,0.0011868156825233782,1750,0.00381
pucon,2026-02-26,2026-03-05,7,-0.0036816117519070358,0.00010460930535249488,0.002684262903432014,25,0.00381
norte,2026-02-26,2026-03-05,7,-0.0002039527156634435,0.0005316533966804374,0.0012682645333964401,25,0.00381
tolten,2026-02-26,2026-03-05,7,-0.0027773505798066823,-0.0007414744460652146,0.0014006318935001604,25,0.00381
sur,2026-02-26,2026-03-05,7,-0.0027583042218053432,0.0020087085227156504,0.005803962661529332,25,0.00381
lake,2026-02-26,2026-03-05,7,-0.0015180735306736574,0.00011741933839461861,0.0013054760656054357,1425,0.00381
pucon,2026-03-05,2026-03-13,8,-0.003918444760884663,-0.0004905887621963923,0.0023356002673052593,25,0.00381
norte,2026-03-05,2026-03-13,8,-0.0005417739725667929,0.00033932349887313084,0.001222027547122505,25,0.00381
tolten,2026-03-05,2026-03-13,8,-0.002898464811143228,-0.0007622810115285408,0.002530425331687089,25,0.00381
sur,2026-03-05,2026-03-13,8,-0.002864091003214348,0.0015222079515793783,0.005515213570846242,25,0.00381
lake,2026-03-05,2026-03-13,8,-0.001846282428151439,-0.00029453926093589075,0.0010704116234155796,1483,0.00381
pucon,2026-03-08,2026-03-13,5,-0.003213791237464899,0.0004711755211851461,0.0030259266777024835,25,0.00381
norte,2026-03-08,2026-03-13,5,-0.00016236390929555297,0.0004325587878734039,0.0012249511170978554,25,0.00381
tolten,2026-03-08,2026-03-13,5,-0.0017565192494494446,0.0001315650651012299,0.003277349627340999,25,0.00381
sur,2026-03-08,2026-03-13,5,-0.0024632505756039457,0.00013071826138061696,0.0032654364087196463,25,0.00381
lake,2026-03-08,2026-03-13,5,-0.0012545567952794681,5.3624830863428595e-05,0.0011873238093845812,1784,0.00381
pucon,2026-03-25,2026-04-02,8,-0.002594405785060393,0.00035612399360567535,0.0033062716108225726,25,0.00381
norte,2026-03-25,2026-04-02,8,-7.281170430551522e-06,0.0005336647260865101,0.0013809467021534821,25,0.00381
tolten,2026-03-25,2026-04-02,8,-0.0018838037362331362,-0.0002819815215420374,0.003477617805929062,25,0.00381
sur,2026-03-25,2026-04-02,8,-0.0012165696568527619,0.0026628122103519343,0.005431674834167887,25,0.00381
lake,2026-03-25,2026-04-02,8,-0.0009378489950318862,0.00019877590893816792,0.0014743188109048117,1851,0.00381
pucon,2026-03-28,2026-04-04,7,-0.0030612555380029522,0.0002469517433787225,0.0031381601495866214,25,0.00381
norte,2026-03-28,2026-04-04,7,-0.0006011272622389796,0.0003232604539887874,0.0014815525579540648,25,0.00381
tolten,2026-03-28,2026-04-04,7,-0.002123088651353901,-0.00013688400381264883,0.0036056085579578073,25,0.00381
sur,2026-03-28,2026-04-04,7,-0.002046637193500492,0.0022195267731572477,0.006012488896674875,25,0.00381
lake,2026-03-28,2026-04-04,7,-0.0013280010086834,3.4138585433780584e-06,0.001450508666835834,1853,0.00381
pucon,2026-03-30,2026-04-04,5,-0.003970447358956055,-0.0005349999070029207,0.0018782962989771312,25,0.00381
norte,2026-03-30,2026-04-04,5,-0.0007265170039577397,0.00045222474913608285,0.0015359595678244241,25,0.00381
tolten,2026-03-30,2026-04-04,5,-0.0027094733800686454,0.00011931608406457742,0.004133725091881861,25,0.00381
sur,2026-03-30,2026-04-04,5,-0.0027663157081617516,0.0005507051590802789,0.004020844953394137,25,0.00381
lake,2026-03-30,2026-04-04,5,-0.0016999091151232379,7.278169643052778e-05,0.0014862573305198393,1845,0.00381
pucon,2026-04-02,2026-04-09,7,-0.0026724646333570936,0.00036026960295496377,0.003112428785590868,25,0.00381
norte,2026-04-02,2026-04-09,7,-0.00036996168662056946,0.000372459158982365,0.001256035556979265,25,0.00381
tolten,2026-04-02,2026-04-09,7,-0.0019303591966784333,-0.00028336254584980237,0.0035169451081858366,25,0.00381
sur,2026-04-02,2026-04-09,7,-0.00232213276090929,0.0009167040688911807,0.0028644265876320496,25,0.00381
